id,name,group,value
TCI60,"Art. 10, I",4,7
TCI75,"Art. 11, I",4,7
TCI105,"Art. 14, III",5,7
TCI110,"Art. 15, II",5,7
TCI119,"Art. 17, § 1º",6,7
TCI121,"Art. 17, § 3º",6,7
TCI125,"Art. 17, § 5º",6,7
TCI136,"Art. 19, § 1º",6,7
TCI138,Art. 20,6,7
TCI170,"Art. 30, § 1º",8,7
TCI171,"Art. 30, § 2º",8,7
TCI182,Art. 38,9,7
TCI211,"Art. 45, § 2º",10,7
TCI227,"Art. 50, § 2º",12,7
TCI3,A PRESIDENTA DA REPÚ,0,6
TCI23,"Art. 5, VI",2,6
TCI86,"Art. 12, I",2,6
TCI89,"Art. 12, II",2,6
TCI38,"Art. 6, II",3,6
TCI84,"Art. 11, § 3º",4,6
TCI112,"Art. 15, § 1º",5,6
TCI113,Art. 16,6,6
TCI146,"Art. 24, III",7,6
TCI189,"Art. 41, § 1º",9,6
TCI225,"Art. 50, VIII",12,6
TCI229,"Art. 50, § 4º",12,6
TCI29,"Art. 5, XII",2,5
TCI42,"Art. 6, VI",3,5
TCI46,"Art. 6, § 1º",3,5
TCI47,"Art. 6, § 2º",3,5
TCI61,"Art. 10, II",4,5
TCI71,"Art. 10, § 2º",4,5
TCI102,Art. 14,5,5
TCI116,"Art. 17, II",6,5
TCI127,"Art. 18, I",6,5
TCI128,"Art. 18, II",6,5
TCI172,"Art. 30, § 3º",8,5
TCI183,Art. 39,9,5
TCI195,"Art. 41, § 3º",9,5
TCI197,"Art. 42, § 1º",10,5
TCI203,"Art. 44, § 1º, III",10,5
TCI207,"Art. 45, I",10,5
TCI215,"Art. 48, § 1º",11,5
TCI220,"Art. 50, III",12,5
TCI222,"Art. 50, V",12,5
TCI226,"Art. 50, § 1º",12,5
TCI13,Art. 3,1,4
TCI14,"Art. 3, § 1º",1,4
TCI32,"Art. 5, XV",2,4
TCI35,"Art. 5, XVIII",2,4
TCI95,"Art. 12, II, f)",2,4
TCI43,"Art. 6, VII",3,4
TCI55,"Art. 7, § 7º",4,4
TCI66,"Art. 10, VII",4,4
TCI68,"Art. 10, VII, b)",4,4
TCI77,"Art. 11, III",4,4
TCI79,"Art. 11, V",4,4
TCI81,"Art. 11, VII",4,4
TCI106,"Art. 14, IV",5,4
TCI117,"Art. 17, III",6,4
TCI122,"Art. 17, § 3º, I",6,4
TCI130,"Art. 18, § 2º",6,4
TCI133,"Art. 18, § 3º",6,4
TCI198,Art. 43,10,4
TCI212,Art. 46,10,4
TCI25,"Art. 5, VIII",2,3
TCI27,"Art. 5, X",2,3
TCI91,"Art. 12, II, b)",2,3
TCI96,"Art. 12, § 1º",2,3
TCI44,"Art. 6, VIII",3,3
TCI64,"Art. 10, V",4,3
TCI72,"Art. 10, § 3º",4,3
TCI104,"Art. 14, II",5,3
TCI123,"Art. 17, § 3º, II",6,3
TCI129,"Art. 18, § 1º",6,3
TCI141,"Art. 22, § 1º",7,3
TCI145,"Art. 24, II",7,3
TCI151,Art. 25,7,3
TCI155,"Art. 28, I",8,3
TCI158,"Art. 28, IV",8,3
TCI181,Art. 37,9,3
TCI208,"Art. 45, II",10,3
TCI210,"Art. 45, § 1º",10,3
TCI219,"Art. 50, II",12,3
TCI221,"Art. 50, IV",12,3
TCI223,"Art. 50, VI",12,3
TCI228,"Art. 50, § 3º",12,3
TCI26,"Art. 5, IX",2,2
TCI93,"Art. 12, II, d)",2,2
TCI98,"Art. 12, § 3º",2,2
TCI67,"Art. 10, VII, a)",4,2
TCI69,"Art. 10, VII, c)",4,2
TCI103,"Art. 14, I",5,2
TCI115,"Art. 17, I",6,2
TCI124,"Art. 17, § 4º",6,2
TCI132,"Art. 18, § 2º, II",6,2
TCI137,"Art. 19, § 2º",6,2
TCI156,"Art. 28, II",8,2
TCI159,"Art. 28, V",8,2
TCI164,"Art. 28, § 1º, IV",8,2
TCI167,"Art. 29, I",8,2
TCI168,"Art. 29, II",8,2
TCI178,"Art. 35, § 1º",9,2
TCI192,"Art. 41, § 2º, II",9,2
TCI194,"Art. 41, § 2º, IV",9,2
TCI204,"Art. 44, § 1º, IV",10,2
TCI205,"Art. 44, § 1º, V",10,2
TCI230,"Art. 50, § 5º",12,2
TCI87,"Art. 12, I, a)",2,1
TCI90,"Art. 12, II, a)",2,1
TCI94,"Art. 12, II, e)",2,1
TCI63,"Art. 10, IV",4,1
TCI65,"Art. 10, VI",4,1
TCI80,"Art. 11, VI",4,1
TCI83,"Art. 11, § 2º",4,1
TCI109,"Art. 15, I",5,1
TCI139,Art. 21,6,1
TCI144,"Art. 24, I",7,1
TCI147,"Art. 24, § 1º",7,1
TCI150,"Art. 24, § 1º, III",7,1
TCI162,"Art. 28, § 1º, II",8,1
TCI190,"Art. 41, § 2º",9,1
TCI202,"Art. 44, § 1º, II",10,1
TCI209,"Art. 45, III",10,1
